               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                 CH4*                   CO                  CH4
                 101               100000         4.1139905368386295E-07         3.0000000000000000E+02        -9.8619999999997479E+00                   4                   34                   -4                  -34
                 102               101000         4.1561623824326550E-07         3.0000000000000000E+02        -8.9939999999997475E+00                   2                   34                   -2                  -34
                 103               102000         4.1981061495739954E-07         3.0000000000000000E+02        -7.0819999999997369E+00                   2                   26                   -2                  -26
                 104               103000         4.2406384183465357E-07         3.0000000000000000E+02        -1.1792999999999742E+01                   9                   33                   -9                  -33
                 105               104000         4.2821602064122381E-07         3.0000000000000000E+02        -9.2959999999997525E+00                   6                   28                   -6                  -28
                 106               105000         4.3226391604748345E-07         3.0000000000000000E+02        -8.9059999999997430E+00                   4                   30                   -4                  -30
                 107               106000         4.3651630201905403E-07         3.0000000000000000E+02        -1.1968999999999754E+01                   5                   41                   -5                  -41
                 108               107000         4.4080764369352502E-07         3.0000000000000000E+02        -9.4909999999997368E+00                   7                   27                   -7                  -27
                 109               108000         4.4488603578554823E-07         3.0000000000000000E+02        -1.1509999999999733E+01                  10                   30                  -10                  -30
                 110               109000         4.4908456313737321E-07         3.0000000000000000E+02        -1.1119999999999742E+01                   8                   32                   -8                  -32
                 111               110000         4.5327637047594512E-07         3.0000000000000000E+02        -1.0924999999999741E+01                   7                   33                   -7                  -33
                 112               111000         4.5735279683630330E-07         3.0000000000000000E+02        -9.2959999999997471E+00                   6                   28                   -6                  -28
                 113               112000         4.6163149814525193E-07         3.0000000000000000E+02        -1.1597999999999749E+01                   8                   34                   -8                  -34
                 114               113000         4.6581987496339266E-07         3.0000000000000000E+02        -8.7109999999997481E+00                   3                   31                   -3                  -31
                 115               114000         4.7004205119152899E-07         3.0000000000000000E+02        -9.3839999999997303E+00                   4                   32                   -4                  -32
                 116               115000         4.7415356407320245E-07         3.0000000000000000E+02        -8.6229999999997222E+00                   5                   27                   -5                  -27
                 117               116000         4.7849725088242498E-07         3.0000000000000000E+02        -1.0056999999999723E+01                   5                   33                   -5                  -33
                 118               117000         4.8249964495369612E-07         3.0000000000000000E+02        -8.4279999999997148E+00                   4                   28                   -4                  -28
                 119               118000         4.8677351340038463E-07         3.0000000000000000E+02        -1.2377999999999718E+01                  12                   30                  -12                  -30
                 120               119000         4.9138563457370119E-07         3.0000000000000000E+02        -1.1207999999999725E+01                   6                   36                   -6                  -36
                 121               120000         4.9539918411701427E-07         3.0000000000000000E+02        -1.1597999999999727E+01                   8                   34                   -8                  -34
                 122               121000         4.9948443227612735E-07         3.0000000000000000E+02        -1.2641999999999724E+01                   6                   42                   -6                  -42
                 123               122000         5.0377296521369818E-07         3.0000000000000000E+02        -9.2079999999997124E+00                   8                   24                   -8                  -24
                 124               123000         5.0820548065264104E-07         3.0000000000000000E+02        -1.1421999999999702E+01                  12                   26                  -12                  -26
                 125               124000         5.1221243677069151E-07         3.0000000000000000E+02        -1.2660999999999717E+01                  11                   33                  -11                  -33
                 126               125000         5.1650168923198807E-07         3.0000000000000000E+02        -9.6859999999997299E+00                   8                   26                   -8                  -26
                 127               126000         5.2059344631894982E-07         3.0000000000000000E+02        -1.0924999999999727E+01                   7                   33                   -7                  -33
                 128               127000         5.2454486799050861E-07         3.0000000000000000E+02        -6.3209999999997146E+00                   3                   21                   -3                  -21
                 129               128000         5.2823599512393299E-07         3.0000000000000000E+02        -9.6859999999997122E+00                   8                   26                   -8                  -26
                 130               129000         5.3240340030327287E-07         3.0000000000000000E+02        -8.2329999999997163E+00                   3                   29                   -3                  -29
                 131               130000         5.3661689686406018E-07         3.0000000000000000E+02        -8.0379999999997285E+00                   2                   30                   -2                  -30
                 132               131000         5.4093028372396682E-07         3.0000000000000000E+02        -7.4719999999997109E+00                   4                   24                   -4                  -24
                 133               132000         5.4497381923885416E-07         3.0000000000000000E+02        -8.9059999999997093E+00                   4                   30                   -4                  -30
                 134               133000         5.4909047872512335E-07         3.0000000000000000E+02        -1.0056999999999725E+01                   5                   33                   -5                  -33
                 135               134000         5.5311472057325451E-07         3.0000000000000000E+02        -8.4279999999997166E+00                   4                   28                   -4                  -28
                 136               135000         5.5735654789934091E-07         3.0000000000000000E+02        -9.9499999999997133E+00                   2                   38                   -2                  -38
                 137               136000         5.6159579439260394E-07         3.0000000000000000E+02        -9.9499999999997115E+00                   2                   38                   -2                  -38
                 138               137000         5.6585966329758910E-07         3.0000000000000000E+02        -1.0836999999999705E+01                   9                   29                   -9                  -29
                 139               138000         5.7005844791935579E-07         3.0000000000000000E+02        -1.0056999999999714E+01                   5                   33                   -5                  -33
                 140               139000         5.7427089806617725E-07         3.0000000000000000E+02        -6.3209999999997049E+00                   3                   21                   -3                  -21
                 141               140000         5.7839018378011164E-07         3.0000000000000000E+02        -9.1009999999997007E+00                   5                   29                   -5                  -29
                 142               141000         5.8266719337451779E-07         3.0000000000000000E+02        -9.9689999999997081E+00                   7                   29                   -7                  -29
                 143               142000         5.8676349563566654E-07         3.0000000000000000E+02        -9.1009999999997095E+00                   5                   29                   -5                  -29
                 144               143000         5.9084175161157893E-07         3.0000000000000000E+02        -7.7549999999997032E+00                   3                   27                   -3                  -27
                 145               144000         5.9511829517824793E-07         3.0000000000000000E+02        -1.0729999999999697E+01                   6                   34                   -6                  -34
                 146               145000         5.9926335560034760E-07         3.0000000000000000E+02        -1.0270999999999677E+01                  11                   23                  -11                  -23
                 147               146000         6.0338446664383609E-07         3.0000000000000000E+02        -8.8179999999996888E+00                   6                   26                   -6                  -26
                 148               147000         6.0766001799141102E-07         3.0000000000000000E+02        -9.1889999999996981E+00                   3                   33                   -3                  -33
                 149               148000         6.1195613354490268E-07         3.0000000000000000E+02        -8.5159999999996909E+00                   2                   32                   -2                  -32
                 150               149000         6.1627763138305624E-07         3.0000000000000000E+02        -1.0251999999999684E+01                   6                   32                   -6                  -32
                 151               150000         6.2020869247576643E-07         3.0000000000000000E+02        -1.0924999999999681E+01                   7                   33                   -7                  -33
                 152               151000         6.2426950782204053E-07         3.0000000000000000E+02        -1.1119999999999681E+01                   8                   32                   -8                  -32
                 153               152000         6.2827752999555540E-07         3.0000000000000000E+02        -9.6859999999996802E+00                   8                   26                   -8                  -26
                 154               153000         6.3245719082765168E-07         3.0000000000000000E+02        -1.1987999999999667E+01                  10                   32                  -10                  -32
                 155               154000         6.3658412010539183E-07         3.0000000000000000E+02        -8.7989999999996726E+00                   1                   35                   -1                  -35
                 156               155000         6.4077736541510705E-07         3.0000000000000000E+02        -1.0163999999999662E+01                   8                   28                   -8                  -28
                 157               156000         6.4500971544117695E-07         3.0000000000000000E+02        -1.0446999999999656E+01                   7                   31                   -7                  -31
                 158               157000         6.4927429347436471E-07         3.0000000000000000E+02        -7.7549999999996526E+00                   3                   27                   -3                  -27
                 159               158000         6.5341483548194299E-07         3.0000000000000000E+02        -8.5159999999996590E+00                   2                   32                   -2                  -32
                 160               159000         6.5757541580541010E-07         3.0000000000000000E+02        -1.1012999999999652E+01                   5                   37                   -5                  -37
                 161               160000         6.6182079637877610E-07         3.0000000000000000E+02        -9.4909999999996426E+00                   7                   27                   -7                  -27
