               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                 CH4*                   CO                  CH4
                 479               478000         1.9695901600017602E-06         3.0000000000000000E+02        -8.9939999999992057E+00                   2                   34                   -2                  -34
                 480               479000         1.9737095121650287E-06         3.0000000000000000E+02        -1.0729999999999208E+01                   6                   34                   -6                  -34
                 481               480000         1.9776310736135770E-06         3.0000000000000000E+02        -1.1314999999999202E+01                   9                   31                   -9                  -31
                 482               481000         1.9815828487408280E-06         3.0000000000000000E+02        -8.0379999999992027E+00                   2                   30                   -2                  -30
                 483               482000         1.9857240981190300E-06         3.0000000000000000E+02        -1.1012999999999199E+01                   5                   37                   -5                  -37
                 484               483000         1.9897923874245054E-06         3.0000000000000000E+02        -9.1009999999991926E+00                   5                   29                   -5                  -29
                 485               484000         1.9938261103985166E-06         3.0000000000000000E+02        -7.9499999999991919E+00                   4                   26                   -4                  -26
                 486               485000         1.9980141003489569E-06         3.0000000000000000E+02        -1.1012999999999181E+01                   5                   37                   -5                  -37
                 487               486000         2.0019735144704314E-06         3.0000000000000000E+02        -9.2079999999991635E+00                   8                   24                   -8                  -24
                 488               487000         2.0058906000497047E-06         3.0000000000000000E+02        -7.2769999999991759E+00                   3                   25                   -3                  -25
                 489               488000         2.0100866109108704E-06         3.0000000000000000E+02        -1.1968999999999184E+01                   5                   41                   -5                  -41
                 490               489000         2.0142455761920794E-06         3.0000000000000000E+02        -9.6669999999991632E+00                   3                   35                   -3                  -35
                 491               490000         2.0184937576499681E-06         3.0000000000000000E+02        -1.0534999999999160E+01                   5                   35                   -5                  -35
                 492               491000         2.0226130309037811E-06         3.0000000000000000E+02        -1.0553999999999137E+01                  10                   26                  -10                  -26
                 493               492000         2.0266287096147846E-06         3.0000000000000000E+02        -8.6229999999991307E+00                   5                   27                   -5                  -27
                 494               493000         2.0307460647011020E-06         3.0000000000000000E+02        -9.5789999999991391E+00                   5                   31                   -5                  -31
                 495               494000         2.0348354939199475E-06         3.0000000000000000E+02        -8.7109999999991299E+00                   3                   31                   -3                  -31
                 496               495000         2.0389138807575050E-06         3.0000000000000000E+02        -1.1792999999999120E+01                   9                   33                   -9                  -33
                 497               496000         2.0430928914607992E-06         3.0000000000000000E+02        -6.7989999999991158E+00                   3                   23                   -3                  -23
                 498               497000         2.0471055613487366E-06         3.0000000000000000E+02        -9.5789999999991160E+00                   5                   31                   -5                  -31
                 499               498000         2.0509536998661028E-06         3.0000000000000000E+02        -9.4909999999991044E+00                   7                   27                   -7                  -27
                 500               499000         2.0551515065591988E-06         3.0000000000000000E+02        -9.5789999999990858E+00                   5                   31                   -5                  -31
