               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                   CO
                  58                57000         8.8188230032195851E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  59                58000         8.9790566347432269E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  60                59000         9.1342610402410160E-08         3.0000000000000000E+02        -1.5623999999999990E+01                  36                  -36
                  61                60000         9.2943973912809618E-08         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                  62                61000         9.4428619842782257E-08         3.0000000000000000E+02        -1.2151999999999996E+01                  28                  -28
                  63                62000         9.5931739184030753E-08         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  64                63000         9.7470908715246741E-08         3.0000000000000000E+02        -1.5623999999999990E+01                  36                  -36
                  65                64000         9.8961528334136807E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  66                65000         1.0051264218009668E-07         3.0000000000000000E+02        -1.5623999999999990E+01                  36                  -36
                  67                66000         1.0208608967728147E-07         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                  68                67000         1.0358730714616628E-07         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  69                68000         1.0501225817443558E-07         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  70                69000         1.0645787191846712E-07         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                  71                70000         1.0797046212775728E-07         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  72                71000         1.0948612960001216E-07         3.0000000000000000E+02        -1.5623999999999990E+01                  36                  -36
                  73                72000         1.1114261464822436E-07         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                  74                73000         1.1265798994663704E-07         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  75                74000         1.1407709939620288E-07         3.0000000000000000E+02        -1.0415999999999999E+01                  24                  -24
                  76                75000         1.1564459587190056E-07         3.0000000000000000E+02        -1.5623999999999990E+01                  36                  -36
                  77                76000         1.1718789919957250E-07         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                  78                77000         1.1873326302248986E-07         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                  79                78000         1.2023494455965995E-07         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                  80                79000         1.2184715879436786E-07         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  81                80000         1.2335437066044983E-07         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  82                81000         1.2493230646769194E-07         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  83                82000         1.2642045898381922E-07         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  84                83000         1.2789372922706761E-07         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  85                84000         1.2950970832188094E-07         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                  86                85000         1.3107349304196160E-07         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                  87                86000         1.3259397060378113E-07         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  88                87000         1.3417144449700753E-07         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  89                88000         1.3566887908242404E-07         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  90                89000         1.3718317163348369E-07         3.0000000000000000E+02        -1.5623999999999990E+01                  36                  -36
                  91                90000         1.3868579104043715E-07         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  92                91000         1.4016023293049693E-07         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  93                92000         1.4175520536075291E-07         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  94                93000         1.4343555402897775E-07         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                  95                94000         1.4494428726029295E-07         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  96                95000         1.4649692030233249E-07         3.0000000000000000E+02        -1.1283999999999997E+01                  26                  -26
                  97                96000         1.4805954324484721E-07         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  98                97000         1.4970022932212923E-07         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  99                98000         1.5119676085593408E-07         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                 100                99000         1.5266803290463297E-07         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
