               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                   CO
                  44                43000         5.5735443997639940E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  45                44000         5.6960038522469492E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  46                45000         5.8329117642824503E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  47                46000         5.9556215794981721E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  48                47000         6.0854217413692473E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  49                48000         6.2204354677418143E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  50                49000         6.3534809111775992E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  51                50000         6.4817187047666032E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  52                51000         6.6140245015177510E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  53                52000         6.7375348019624046E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  54                53000         6.8749128205872619E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  55                54000         6.9973225430848617E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  56                55000         7.1202031319351062E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  57                56000         7.2489125245008746E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  58                57000         7.3856933886316473E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  59                58000         7.5260091097197242E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  60                59000         7.6644181981875746E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  61                60000         7.8045642231777415E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  62                61000         7.9361740008842660E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  63                62000         8.0719205847079492E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  64                63000         8.1984313305875089E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  65                64000         8.3239708730334298E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  66                65000         8.4530935979859548E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  67                66000         8.5934856730508813E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  68                67000         8.7214502613807753E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  69                68000         8.8515164761778235E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  70                69000         8.9746246986433656E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  71                70000         9.1023585813430770E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  72                71000         9.2301455081363234E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  73                72000         9.3572416238422013E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  74                73000         9.4819611972092703E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  75                74000         9.6070159502990900E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  76                75000         9.7449039951115981E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  77                76000         9.8794626355717482E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  78                77000         1.0014840505076689E-05         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  79                78000         1.0149462627308628E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  80                79000         1.0283595008216683E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  81                80000         1.0415533915457338E-05         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  82                81000         1.0540587534446581E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  83                82000         1.0667755846921859E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  84                83000         1.0789553123671768E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  85                84000         1.0919424346069749E-05         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  86                85000         1.1050330466112168E-05         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  87                86000         1.1175595014998228E-05         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  88                87000         1.1303610131372095E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  89                88000         1.1426388324589997E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  90                89000         1.1557288918610134E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  91                90000         1.1681706318379773E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  92                91000         1.1808160669377118E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  93                92000         1.1936804715829970E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  94                93000         1.2072121444314333E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  95                94000         1.2206741555577416E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  96                95000         1.2338406894503211E-05         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  97                96000         1.2473928071696027E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  98                97000         1.2600519159523661E-05         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  99                98000         1.2729596568403257E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                 100                99000         1.2854575667827054E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
